numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
200,-9316,-7112,15316,3722,7357,9935
201,-544,-3280,19320,5600,-3190,-641
202,-1388,0,20104,5004,3072,-1588
203,576,-1012,17044,12911,1031,2392
204,2184,-1180,17048,-843,-600,-137
205,3764,-2832,17300,189,284,-371
206,-3256,-6156,14264,29684,16633,6856
207,-7912,-7284,14524,2262,-307,-278
208,-7388,-6832,13832,460,1780,-71
209,-7292,-7476,13956,1180,-208,12
210,-7132,-6884,9088,4552,618,7154
211,-1148,60,22964,-793,3451,951
212,-9872,-5952,6784,-4115,-1080,-3525
213,-1440,-1936,21512,-1480,308,5351
214,-3256,-4220,16968,-19061,7407,-7898
215,-4708,-4400,16360,-386,1710,-436
216,-5060,-5040,16516,12935,-3471,2334
217,-2528,-4368,16844,1324,1571,250
218,-2652,-4148,17180,1466,2258,-252
219,-2660,-4156,16608,-15,1298,-255
220,-1348,-3448,17980,-4159,2952,-2119
221,-4748,-8864,15144,-3634,16285,1610
222,-384,-4300,18592,4178,-6053,-6394
223,1520,-3880,20380,-18527,4375,-1835
224,1500,-2896,18944,4836,2585,1488
225,3584,80,17036,594,-416,-551
226,3504,4,17320,619,842,-182
227,3576,28,17288,631,825,-151
228,3496,36,17292,626,809,-148
229,3568,60,17344,647,844,-194
230,3484,48,17308,668,803,-148
231,3484,28,17372,678,863,-191
232,3464,92,17336,660,801,-167
233,3488,52,17336,636,787,-171
234,3548,36,17280,658,839,-176
235,3580,68,17328,639,878,-193
236,3452,60,17352,674,862,-162
237,3564,52,17340,671,821,-171
238,3468,84,17432,629,805,-170
239,3472,40,17376,648,831,-152
240,3544,76,17396,641,845,-191
241,3516,100,17236,640,810,-172
242,628,724,13164,-1995,-762,-13431
243,3996,-13452,9356,-12624,70,-5673
244,-3956,7740,11896,17019,6369,-3489
245,1944,-964,18212,10843,4177,758
246,3668,388,16576,-794,1484,100
247,3596,72,17308,635,859,-141
248,3616,28,17416,654,806,-158
249,3572,32,17472,668,838,-188
250,3572,72,17312,654,820,-138
251,3592,16,17216,649,824,-189
252,3572,108,17340,651,854,-171
253,3580,-8,17296,644,845,-181
254,3616,76,17312,626,861,-160
255,3580,-12,17424,635,853,-182
256,3584,44,17468,634,851,-171
257,3616,40,17316,631,821,-178
258,3624,96,17324,635,820,-157
259,3580,64,17244,638,821,-184
260,3636,44,17256,640,805,-177
261,3532,28,17372,682,853,-182
262,3584,-4,17272,652,837,-169
263,3528,60,17416,667,838,-181
264,3600,52,17316,655,814,-185
265,3556,40,17384,621,805,-201
266,3568,48,17344,659,842,-178
267,3556,0,17320,653,852,-184
268,3644,108,17420,659,839,-214
269,3556,48,17128,636,832,-153
270,3572,20,17264,677,835,-138
271,3596,60,17320,659,803,-172
272,3572,-24,17252,624,820,-170
273,3544,64,17284,630,803,-161
274,3608,8,17324,647,823,-161
275,3644,-24,17400,622,954,-180
276,3568,108,17320,661,774,-155
277,3544,100,17284,666,796,-191
278,3544,60,17332,675,819,-169
279,3564,56,17348,648,810,-177
280,3576,72,17272,663,829,-180
281,3532,48,17292,646,823,-136
282,3492,16,17340,650,812,-184
283,3584,40,17320,619,825,-204
284,3472,44,17432,638,827,-169
285,3512,36,17304,656,821,-140
286,3524,8,17268,665,815,-186
287,3544,72,17368,672,825,-146
288,3556,8,17292,640,906,-167
289,3484,4,17372,670,840,-187
290,3516,80,17224,648,883,-160
291,3524,44,17388,644,831,-174
292,3596,84,17432,702,867,-167
293,3576,-8,17232,673,813,-136
294,3540,56,17308,645,725,-155
295,3508,48,17332,633,833,-164
296,3548,68,17312,644,835,-169
297,3472,12,17424,612,802,-163
298,3528,20,17332,658,816,-189
299,3508,12,17456,658,784,-161
300,6820,-7200,9752,17056,10992,6396
301,3700,100,17328,750,2004,223
